 Transmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
 Retransmit=>	Src: 0.0.0.0:28695		Dst: 0.0.0.0:22555		PacketType = SYN	SeqNum = 100	AckNum: 200	WindowSize = 170	data: 
